Time,AX,AY,AZ,GX,GY,GZ,T
1.1684,0.0950,-0.1060,1.1940,1.1600,23.4200,-41.4200,34.9800
1.1805,0.1020,-0.1050,1.2070,0.8090,24.2440,-41.5880,35.1200
1.1876,0.1100,-0.0940,1.2000,2.6720,24.4890,-41.8320,35.0700
1.1997,0.1100,-0.1030,1.1920,2.5040,26.5340,-42.9770,35.0700
1.2065,0.1050,-0.1090,1.1820,-1.4810,26.8700,-41.4810,35.1200
1.2190,0.0870,-0.1070,1.1710,-1.1150,26.8240,-39.3590,35.0700
1.2311,0.0740,-0.0990,1.1610,-2.0460,26.3660,-37.9080,35.0700
1.2381,0.0600,-0.0870,1.1370,1.5730,24.6110,-40.0460,35.0200
1.2502,0.0650,-0.0950,1.1380,4.2600,22.9770,-43.6640,35.0700
1.2573,0.0770,-0.0790,1.1490,2.9470,22.6560,-42.8400,35.0200
1.2695,0.0820,-0.0690,1.1550,0.8550,22.6260,-39.7250,35.0700
1.2815,0.0910,-0.0700,1.1440,-2.2900,23.6180,-37.4810,35.0700
1.2885,0.0930,-0.0790,1.1530,-4.9160,23.7250,-38.0310,35.0200
1.3006,0.0920,-0.0940,1.1540,-1.5270,22.7790,-41.3440,35.0200
1.3079,0.0940,-0.0830,1.1430,-1.8780,22.0310,-41.2820,35.0700
1.3197,0.0830,-0.0700,1.1430,-0.4430,21.5420,-41.2060,35.1200
1.3316,0.0860,-0.0660,1.1350,0.5800,21.5730,-41.4500,35.1700
1.3387,0.0900,-0.0750,1.1480,-4.0150,22.1830,-40.2140,35.0700
1.3508,0.0980,-0.0790,1.1610,-2.3820,20.5190,-43.3280,35.1200
1.3577,0.1120,-0.0930,1.1960,-1.0530,22.1530,-45.9390,35.0200
1.3701,0.1130,-0.0890,1.2010,-3.6490,23.9540,-44.5040,35.0700
1.3766,0.1000,-0.1180,1.1960,-3.6340,25.0380,-42.6110,34.9300
1.3893,0.0710,-0.1280,1.1980,-3.5570,25.4810,-41.4200,35.0700
1.4009,0.0600,-0.1510,1.1880,-3.3130,25.5730,-39.5420,35.1700
1.4080,0.0610,-0.1580,1.1900,-3.1600,22.4730,-39.3590,34.9300
1.4201,0.0710,-0.1250,1.2010,-0.4120,22.0760,-39.8630,35.1200
1.4269,0.0780,-0.1060,1.2090,-0.2140,22.6560,-39.3890,35.0700
1.4391,0.0860,-0.0790,1.1910,-0.3970,23.6640,-39.2210,35.0200
1.4510,0.0780,-0.1000,1.1840,-0.9470,22.5340,-38.5340,35.0700
1.4578,0.0710,-0.1350,1.1810,-1.3280,23.0080,-37.1150,35.0700
1.4701,0.0770,-0.1310,1.1660,0.8090,22.7480,-36.7630,35.0200
1.4770,0.0610,-0.1110,1.1810,1.9080,22.0310,-36.7480,35.0200
1.4895,0.0610,-0.0830,1.1630,-0.2290,20.9620,-36.3360,35.0700
1.5012,0.0620,-0.0680,1.1780,0.0000,19.9080,-36.3660,35.0200
1.5086,0.0900,-0.0800,1.1770,-1.8470,19.8470,-36.0150,35.1700
1.5207,0.0900,-0.0690,1.1790,-0.8240,20.5800,-36.3820,35.0700
1.5276,0.1070,-0.0900,1.1670,0.0920,21.1600,-36.7630,35.0200
1.5397,0.0920,-0.0850,1.1590,-3.0080,19.2670,-37.5570,35.0700
1.5455,0.0860,-0.0780,1.1700,0.7330,18.7630,-39.5880,35.0700
1.5586,0.1030,-0.0880,1.1900,3.7400,18.6110,-39.6490,35.0200
1.5709,0.1080,-0.0860,1.1960,-1.0380,19.5880,-37.2520,35.0700
1.5782,0.1120,-0.0820,1.2000,-3.8780,20.4580,-35.6640,35.0700
1.5901,0.1120,-0.0930,1.1810,0.0920,21.7250,-38.8550,35.0200
1.5972,0.1020,-0.0960,1.1810,0.9620,21.7860,-40.5190,35.0700
1.6090,0.0970,-0.1030,1.1800,0.3660,21.6340,-40.1370,35.0700
1.6214,0.0720,-0.1050,1.1750,1.8020,21.1600,-38.9310,35.0200
1.6283,0.0730,-0.1030,1.1670,0.5040,19.9690,-38.5650,35.0700
1.6405,0.0770,-0.1080,1.1750,2.7630,18.0000,-38.3820,34.9800
1.6476,0.0930,-0.1090,1.1840,5.4500,18.7480,-37.7860,35.1200
1.6595,0.1060,-0.1250,1.1850,2.3820,19.4660,-36.4270,35.0700
1.6666,0.1050,-0.1090,1.1870,0.1680,19.2370,-34.9160,35.1200
1.6791,0.1000,-0.0820,1.1820,0.3210,21.0690,-34.3970,35.0200
1.6910,0.0970,-0.0440,1.1850,3.7400,20.0610,-37.2370,34.9800
